Groups:
adc_data[11..0] =, adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0],  unsigned decimal

Data:
time unit: ns, adc_data[11..0], adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0], adc_data_valid, 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
4760, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4780, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4800, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4820, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4840, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4860, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4880, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4900, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4920, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4940, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4960, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4980, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5000, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5020, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5040, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5060, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5080, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5100, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5120, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5140, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
5160, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
